"Data","Último","Abertura","Máxima","Mínima","Var%"
"28.12.2020","5,2471","5,1784","5,3127","5,1642","0,58%"
"25.12.2020","5,2167","5,2167","5,2167","5,2167","0,00%"
"24.12.2020","5,2167","5,2167","5,2167","5,2167","-0,00%"
"23.12.2020","5,2168","5,1608","5,2211","5,1282","1,10%"
"22.12.2020","5,1601","5,1214","5,1724","5,1089","0,73%"
"21.12.2020","5,1227","5,2010","5,2245","5,1118","0,39%"
"18.12.2020","5,1027","5,0580","5,1173","5,0580","0,87%"
"17.12.2020","5,0585","5,0590","5,0883","5,0418","-0,51%"
"16.12.2020","5,0842","5,0827","5,1433","5,0636","-0,01%"
"15.12.2020","5,0846","5,1144","5,1248","5,0761","-0,67%"
"14.12.2020","5,1191","5,0375","5,1303","5,0097","1,05%"
"11.12.2020","5,0661","5,0440","5,0884","5,0285","0,80%"
"10.12.2020","5,0259","5,1101","5,1324","5,0138","-2,81%"
"09.12.2020","5,1710","5,1204","5,1976","5,0862","0,98%"
"08.12.2020","5,1206","5,1001","5,1389","5,0622","0,41%"
"07.12.2020","5,0995","5,1600","5,1698","5,0570","-1,10%"
"04.12.2020","5,1560","5,1540","5,1842","5,1163","0,08%"
"03.12.2020","5,1520","5,2180","5,2305","5,1210","-1,26%"
"02.12.2020","5,2178","5,2244","5,2548","5,2052","0,22%"
"01.12.2020","5,2065","5,3145","5,3302","5,2032","-2,36%"
"30.11.2020","5,3323","5,2893","5,3972","5,2737","-0,22%"
"27.11.2020","5,3441","5,3353","5,3796","5,3195","0,14%"
"26.11.2020","5,3368","5,3197","5,3581","5,2952","0,24%"
"25.11.2020","5,3242","5,3741","5,3957","5,3031","-0,93%"
"24.11.2020","5,3740","5,4413","5,4444","5,3702","-1,20%"
"23.11.2020","5,4393","5,3773","5,4504","5,3383","1,10%"
"20.11.2020","5,3802","5,2901","5,3957","5,2845","1,40%"
"19.11.2020","5,3057","5,3632","5,3796","5,2972","-1,08%"
"18.11.2020","5,3634","5,3285","5,3725","5,2740","0,66%"
"17.11.2020","5,3284","5,4163","5,4229","5,3219","-1,61%"
"16.11.2020","5,4155","5,4133","5,4584","5,3633","-0,79%"
"13.11.2020","5,4585","5,4578","5,5260","5,4494","0,00%"
"12.11.2020","5,4583","5,4153","5,4900","5,3524","1,24%"
"11.11.2020","5,3915","5,4170","5,4567","5,3740","-0,43%"
"10.11.2020","5,4149","5,3736","5,4190","5,3342","0,53%"
"09.11.2020","5,3861","5,2739","5,4253","5,2232","0,39%"
"06.11.2020","5,3650","5,5253","5,5736","5,3586","-2,90%"
"05.11.2020","5,5253","5,6125","5,6305","5,5223","-2,45%"
"04.11.2020","5,6640","5,7565","5,7652","5,6430","-1,61%"
"03.11.2020","5,7565","5,6955","5,7664","5,6484","0,24%"
"02.11.2020","5,7430","5,7430","5,7430","5,7430","-0,05%"
"30.10.2020","5,7460","5,7791","5,8090","5,7219","-0,60%"
"29.10.2020","5,7805","5,7476","5,7923","5,7448","0,58%"
"28.10.2020","5,7473","5,7066","5,7936","5,7026","0,72%"
"27.10.2020","5,7062","5,6247","5,7127","5,5987","1,45%"
"26.10.2020","5,6246","5,6566","5,6648","5,6104","0,09%"
"23.10.2020","5,6193","5,5944","5,6369","5,5663","0,50%"
"22.10.2020","5,5911","5,6105","5,6276","5,5640","-0,30%"
"21.10.2020","5,6079","5,6053","5,6304","5,5713","0,04%"
"20.10.2020","5,6057","5,6096","5,6264","5,5463","-0,02%"
"19.10.2020","5,6071","5,6455","5,6495","5,5656","-0,65%"
"16.10.2020","5,6438","5,6104","5,6553","5,5975","0,53%"
"15.10.2020","5,6143","5,5962","5,6494","5,5899","0,40%"
"14.10.2020","5,5922","5,5734","5,6059","5,5349","0,40%"
"13.10.2020","5,5701","5,5255","5,6261","5,5207","0,70%"
"12.10.2020","5,5316","5,5316","5,5316","5,5316","-0,02%"
"09.10.2020","5,5329","5,6008","5,6008","5,5108","-1,20%"
"08.10.2020","5,6001","5,6137","5,6473","5,5766","-0,20%"
"07.10.2020","5,6112","5,5625","5,6400","5,5515","0,30%"
"06.10.2020","5,5945","5,5757","5,6183","5,4838","0,34%"
"05.10.2020","5,5758","5,6510","5,6782","5,5503","-1,94%"
"02.10.2020","5,6863","5,6441","5,6932","5,6078","0,73%"
"01.10.2020","5,6449","5,6118","5,6654","5,5741","0,59%"
"30.09.2020","5,6120","5,6349","5,6707","5,5869","-0,42%"
"29.09.2020","5,6356","5,6624","5,6789","5,6069","-0,48%"
"28.09.2020","5,6630","5,5135","5,6758","5,5123","1,79%"
